Indice;Fecha;Open;Close;Variacion diaria;Descripcion
120;2021-05-01;57714.664063;57828.05078099999;113.38671799999429;Sube
121;2021-05-02;57825.86328099999;56631.078125;-1194.7851559999908;Baja
122;2021-05-03;56620.273438;57200.29296900001;580.0195310000126;Sube
123;2021-05-04;57214.179688;53333.539063;-3880.640625;Baja
124;2021-05-05;53252.164063;57424.007813;4171.84375;Sube
125;2021-05-06;57441.30859400001;56396.515625;-1044.7929690000092;Baja
126;2021-05-07;56413.953125;57356.40234400001;942.4492190000092;Sube
127;2021-05-08;57352.765625;58803.77734400001;1451.0117190000092;Sube
128;2021-05-09;58877.390625;58232.31640599999;-645.0742190000092;Baja
129;2021-05-10;58250.87109400001;55859.796875;-2391.074219000009;Baja
130;2021-05-11;55847.242188;56704.57421900001;857.3320310000126;Sube
131;2021-05-12;56714.53125;49150.535156;-7563.996094000002;Baja
132;2021-05-13;49735.433594;49716.191406;-19.242188000003807;Baja
133;2021-05-14;49682.980469;49880.535156;197.5546869999962;Sube
134;2021-05-15;49855.496094;46760.1875;-3095.308594000002;Baja
135;2021-05-16;46716.636719;46456.058594;-260.578125;Baja
136;2021-05-17;46415.898438;43537.511719;-2878.3867189999946;Baja
137;2021-05-18;43488.058594;42909.402344;-578.65625;Baja
138;2021-05-19;42944.976563;37002.441406;-5942.535156999998;Baja
139;2021-05-20;36753.667969;40782.738281;4029.070311999996;Sube
140;2021-05-21;40596.949219;37304.691406;-3292.257813000004;Baja
141;2021-05-22;37371.03125;37536.632813;165.60156299999653;Sube
142;2021-05-23;37531.449219;34770.582031;-2760.867188000004;Baja
143;2021-05-24;34700.363281;38705.980469;4005.617188000004;Sube
144;2021-05-25;38795.78125;38402.222656;-393.5585940000019;Baja
145;2021-05-26;38392.625;39294.199219;901.5742190000019;Sube
146;2021-05-27;39316.890625;38436.96875;-879.921875;Baja
147;2021-05-28;38507.082031;35697.605469;-2809.476561999996;Baja
148;2021-05-29;35684.15625;34616.066406;-1068.089844000002;Baja
149;2021-05-30;34607.40625;35678.128906;1070.722655999998;Sube
150;2021-05-31;35658.59375;37332.855469;1674.261719000002;Sube
151;2021-06-01;37293.792969;36684.925781;-608.8671880000038;Baja
152;2021-06-02;36699.921875;37575.179688;875.2578129999965;Sube
153;2021-06-03;37599.410156;39208.765625;1609.355469000002;Sube
154;2021-06-04;39242.484375;36894.40625;-2348.078125;Baja
155;2021-06-05;36880.15625;35551.957031;-1328.199219000002;Baja
156;2021-06-06;35538.609375;35862.378906;323.7695309999981;Sube
157;2021-06-07;35835.265625;33560.707031;-2274.558594000002;Baja
158;2021-06-08;33589.519531;33472.632813;-116.88671800000157;Baja
159;2021-06-09;33416.976563;37345.121094;3928.1445310000054;Sube
160;2021-06-10;37389.515625;36702.597656;-686.9179690000019;Baja
161;2021-06-11;36697.03125;37334.398438;637.3671879999965;Sube
162;2021-06-12;37340.144531;35552.515625;-1787.628905999998;Baja
163;2021-06-13;35555.789063;39097.859375;3542.0703120000035;Sube
164;2021-06-14;39016.96875;40218.476563;1201.5078129999965;Sube
165;2021-06-15;40427.167969;40406.269531;-20.898438000003807;Baja
166;2021-06-16;40168.691406;38347.0625;-1821.628905999998;Baja
167;2021-06-17;38341.421875;38053.503906;-287.9179690000019;Baja
168;2021-06-18;38099.476563;35787.246094;-2312.2304689999946;Baja
169;2021-06-19;35854.527344;35615.871094;-238.65625;Baja
170;2021-06-20;35563.140625;35698.296875;135.15625;Sube
171;2021-06-21;35641.144531;31676.693358999997;-3964.451172000001;Baja
172;2021-06-22;31622.376952999995;32505.660156;883.2832030000063;Sube
173;2021-06-23;32515.714844;33723.027344;1207.3125000000036;Sube
174;2021-06-24;33682.800781;34662.4375;979.6367190000019;Sube
175;2021-06-25;34659.105469;31637.779297000005;-3021.3261719999973;Baja
176;2021-06-26;31594.664063;32186.277344;591.6132809999981;Sube
177;2021-06-27;32287.523438;34649.644531;2362.121092999998;Sube
178;2021-06-28;34679.121094;34434.335938;-244.78515600000537;Baja
179;2021-06-29;34475.558594;35867.777344;1392.21875;Sube
180;2021-06-30;35908.386719;35040.835938;-867.5507810000054;Baja
181;2021-07-01;35035.984375;33572.117188;-1463.8671870000035;Baja
182;2021-07-02;33549.601563;33897.046875;347.44531200000347;Sube
183;2021-07-03;33854.421875;34668.546875;814.125;Sube
184;2021-07-04;34665.566406;35287.78125;622.2148440000019;Sube
185;2021-07-05;35284.34375;33746.003906;-1538.339844000002;Baja
186;2021-07-06;33723.507813;34235.195313;511.6875;Sube
187;2021-07-07;34225.679688;33855.328125;-370.35156299999653;Baja
188;2021-07-08;33889.605469;32877.371094;-1012.234375;Baja
189;2021-07-09;32861.671875;33798.011719;936.3398440000019;Sube
190;2021-07-10;33811.242188;33520.519531;-290.72265699999843;Baja
191;2021-07-11;33509.078125;34240.1875;731.109375;Sube
192;2021-07-12;34254.015625;33155.847656;-1098.167969000002;Baja
193;2021-07-13;33125.46875;32702.025391000003;-423.44335899999714;Baja
194;2021-07-14;32723.845702999995;32822.347656;98.50195300000269;Sube
195;2021-07-15;32827.875;31780.730469;-1047.1445310000017;Baja
196;2021-07-16;31841.550781;31421.539063;-420.01171800000157;Baja
197;2021-07-17;31397.308594;31533.068358999997;135.75976499999888;Sube
198;2021-07-18;31533.884766000003;31796.810547000005;262.92578100000173;Sube
199;2021-07-19;31800.011719;30817.832031;-982.1796879999965;Baja
200;2021-07-20;30838.285156;29807.347656;-1030.9375;Baja
201;2021-07-21;29796.285156;32110.693358999997;2314.4082029999954;Sube
202;2021-07-22;32138.873047000005;32313.105469;174.23242199999368;Sube
203;2021-07-23;32305.958983999997;33581.550781;1275.591797000001;Sube
204;2021-07-24;33593.730469;34292.445313;698.7148439999946;Sube
